"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wRC","wRAA","wOBA","Spd","wRC+","wSB","UBR","wGDP","FB%+","BB%+","LD+%","GB%+","Hard%","Med%","Soft%","Oppo%","Cent%","Pull%","HR/FB","playerid"
"2016","Yefri Perez","Marlins","12","3","3","2","1","1","0","0","5","0","0","0","1","0","0","0","0","4","2",".667","0.0 %","33.3 %","0.00",".667","1.000","1.667",".333","1.000","1","1.0",".707","6.3","361","0.0","0.7","0.2","0","0","0","224","50.0 %","50.0 %","0.0 %","50.0 %","0.0 %","50.0 %","0.0 %","12090"
"2016","Gavin Cecchini","Mets","4","6","7","2","0","2","0","0","2","2","0","0","2","1","0","0","0","0","0",".333","0.0 %","28.6 %","0.00",".429",".667","1.095",".333",".500","2","0.8",".458","2.6","195","0.0","-0.2","0.0","220","0","0","56","50.0 %","25.0 %","25.0 %","0.0 %","25.0 %","75.0 %","0.0 %","17005"
"2014","Troy Tulowitzki","Rockies","91","315","375","107","67","18","1","21","71","52","50","4","57","5","5","0","4","1","1",".340","13.3 %","15.2 %","0.88",".432",".603","1.035",".263",".355","79","38.5",".444","3.1","170","-0.6","0.0","0.8","114","170","111","84","42.2 %","42.2 %","15.6 %","16.7 %","34.6 %","48.7 %","20.6 %","3531"
"2015","Corey Seager","Dodgers","27","98","113","33","20","8","1","4","17","17","14","1","19","1","0","0","2","2","0",".337","12.4 %","16.8 %","0.74",".425",".561",".986",".224",".387","22","9.7",".421","5.7","175","0.3","0.4","0.3","80","156","95","117","46.8 %","38.0 %","15.2 %","16.5 %","45.6 %","38.0 %","19.0 %","13624"
"2019","Fernando Tatis Jr.","Padres","84","334","372","106","65","13","6","22","61","53","30","1","110","5","3","0","4","16","6",".317","8.1 %","29.6 %","0.27",".379",".590",".969",".272",".410","72","25.2",".398","7.1","150","0.4","1.8","0.8","87","91","103","109","41.9 %","36.6 %","21.6 %","21.6 %","36.6 %","41.9 %","31.9 %","19709"
"2017","Zack Cozart","Reds","122","438","507","130","75","24","7","24","80","63","62","0","78","3","4","0","5","3","0",".297","12.2 %","15.4 %","0.79",".385",".548",".933",".251",".312","92","30.5",".392","5.3","139","0.2","-2.7","1.0","120","136","95","86","30.8 %","49.7 %","19.5 %","16.5 %","34.6 %","48.9 %","15.6 %","2616"
"2018","Trevor Story","Rockies","157","598","656","174","89","42","6","37","88","108","47","3","168","7","4","0","12","27","6",".291","7.2 %","25.6 %","0.28",".348",".567",".914",".276",".345","114","37.0",".384","6.3","128","2.6","-0.9","0.1","123","80","104","79","44.5 %","39.6 %","15.9 %","22.4 %","34.3 %","43.3 %","19.9 %","12564"
"2019","Trevor Story","Rockies","145","588","656","173","95","38","5","35","111","85","58","0","174","7","3","0","3","23","8",".294","8.8 %","26.5 %","0.33",".363",".554",".917",".260",".361","117","34.2",".380","6.6","121","0.8","2.6","2.5","119","100","112","78","44.1 %","43.7 %","12.2 %","28.3 %","32.1 %","39.6 %","19.9 %","12564"
"2016","Trevor Story","Rockies","97","372","415","101","49","21","4","27","67","72","35","2","130","5","1","2","5","8","5",".272","8.4 %","31.3 %","0.27",".341",".567",".909",".296",".343","70","21.2",".380","5.9","122","-0.6","1.4","1.1","138","98","111","66","44.9 %","40.8 %","14.3 %","26.9 %","33.1 %","40.0 %","23.7 %","12564"
"2016","Corey Seager","Dodgers","157","627","687","193","122","40","5","26","105","72","54","5","133","4","2","0","12","3","3",".308","7.9 %","19.4 %","0.41",".365",".512",".877",".204",".355","112","30.6",".372","4.1","136","-1.0","2.5","0.9","86","91","115","104","39.7 %","47.6 %","12.7 %","28.6 %","34.3 %","37.1 %","17.9 %","13624"
"2016","Aledmys Diaz","Cardinals","111","404","460","121","73","28","3","17","71","65","41","6","60","7","6","2","10","4","4",".300","8.9 %","13.0 %","0.68",".369",".510",".879",".210",".312","74","19.6",".370","4.3","132","-1.1","-1.1","-0.5","114","103","73","102","31.5 %","49.4 %","19.0 %","23.0 %","30.7 %","46.3 %","12.6 %","15937"
"2018","Javier Baez","Cubs","160","606","645","176","93","40","9","34","101","111","29","8","167","5","4","1","10","21","9",".290","4.5 %","25.9 %","0.17",".326",".554",".881",".264",".347","103","27.2",".366","7.1","131","0.2","2.9","0.8","92","50","101","105","35.8 %","44.8 %","19.4 %","26.1 %","33.3 %","40.5 %","24.3 %","12979"
"2014","Pete Kozma","Cardinals","14","23","26","7","4","3","0","0","4","0","3","0","4","0","0","0","0","0","0",".304","11.5 %","15.4 %","0.75",".385",".435",".819",".130",".368","4","1.1",".365","2.0","135","0.0","0.4","0.2","62","147","200","82","36.8 %","36.8 %","26.3 %","31.6 %","36.8 %","31.6 %","0.0 %","2539"
"2017","Corey Seager","Dodgers","145","539","613","159","104","33","0","22","85","77","67","5","131","4","3","0","14","4","2",".295","10.9 %","21.4 %","0.51",".375",".479",".854",".184",".352","97","22.2",".364","2.7","127","-0.5","4.6","-0.7","94","121","121","95","44.0 %","43.1 %","12.9 %","28.0 %","35.5 %","36.5 %","16.2 %","13624"
"2014","Hanley Ramirez","Dodgers","128","449","512","127","79","35","0","13","64","71","56","2","84","6","1","0","10","14","5",".283","10.9 %","16.4 %","0.67",".369",".448",".817",".165",".323","75","20.4",".362","3.9","136","0.4","0.4","-0.3","99","140","100","101","32.8 %","49.7 %","17.5 %","22.4 %","34.4 %","43.2 %","10.5 %","8001"
"2016","Stephen Drew","Nationals","70","143","165","38","18","11","1","8","24","21","16","0","31","2","4","0","3","0","1",".266","9.7 %","18.8 %","0.52",".339",".524",".864",".259",".278","25","5.9",".362","3.4","123","-0.5","-0.9","0.2","136","112","102","71","41.4 %","44.0 %","14.7 %","18.1 %","37.9 %","44.0 %","14.8 %","4251"
"2017","Paul DeJong","Cardinals","108","417","443","119","67","26","1","25","55","65","21","1","124","4","1","0","8","1","0",".285","4.7 %","28.0 %","0.17",".325",".532",".857",".247",".349","68","14.2",".359","2.5","123","0.0","-3.3","0.9","122","53","114","76","36.4 %","42.2 %","21.4 %","20.4 %","32.7 %","46.9 %","19.8 %","18015"
"2015","Jung Ho Kang","Pirates","126","421","467","121","80","24","2","15","60","58","28","0","99","17","1","0","10","5","4",".287","6.0 %","21.2 %","0.28",".355",".461",".816",".173",".344","68","15.9",".356","4.0","128","-0.8","3.9","0.1","83","75","106","109","34.4 %","47.7 %","18.0 %","20.7 %","33.1 %","46.1 %","16.9 %","17182"
"2019","Trea Turner","Nationals","122","521","569","155","94","37","5","19","96","57","43","2","113","3","2","0","10","35","5",".298","7.6 %","19.9 %","0.38",".353",".497",".850",".200",".348","89","17.6",".356","7.6","117","4.5","2.1","-0.1","92","85","92","110","37.8 %","45.1 %","17.1 %","24.9 %","32.7 %","42.4 %","14.2 %","16252"
"2016","Jonathan Villar","Brewers","156","589","679","168","108","38","3","19","92","63","79","4","174","2","4","5","7","62","18",".285","11.6 %","25.6 %","0.45",".369",".457",".826",".171",".373","101","21.0",".356","6.4","120","4.6","-1.2","0.1","71","135","96","124","35.1 %","44.3 %","20.5 %","25.9 %","41.8 %","32.3 %","19.6 %","10071"
"2018","Garrett Hampson","Rockies","24","40","48","11","7","3","1","0","3","4","7","0","12","1","0","0","0","2","0",".275","14.6 %","25.0 %","0.58",".396",".400",".796",".125",".393","7","1.6",".355","6.6","108","0.4","0.0","0.3","103","162","92","102","28.6 %","50.0 %","21.4 %","28.6 %","39.3 %","32.1 %","0.0 %","19262"
"2015","Troy Tulowitzki","Rockies","87","323","351","97","66","19","0","12","46","53","24","4","72","1","3","0","13","0","0",".300","6.8 %","20.5 %","0.33",".348",".471",".818",".170",".351","50","10.2",".349","1.5","106","-0.2","-0.7","-1.0","121","86","92","88","40.2 %","42.5 %","17.3 %","21.7 %","30.3 %","48.0 %","11.8 %","3531"
"2019","Javier Baez","Cubs","138","531","561","149","78","38","4","29","89","85","28","3","156","0","2","0","16","11","7",".281","5.0 %","27.8 %","0.18",".316",".531",".847",".250",".345","84","13.2",".347","5.7","114","-1.1","3.4","-1.1","89","56","83","117","37.4 %","44.6 %","18.0 %","27.9 %","36.1 %","36.1 %","24.4 %","12979"
"2018","Manny Machado","Dodgers","66","267","296","73","44","14","2","13","36","42","25","6","53","2","2","0","12","6","1",".273","8.4 %","17.9 %","0.47",".338",".487",".825",".213",".296","42","7.5",".346","5.0","121","0.6","1.8","-0.9","110","94","89","97","42.1 %","40.7 %","17.1 %","21.8 %","37.5 %","40.7 %","15.7 %","11493"
"2019","Donovan Solano","Giants","81","215","228","71","53","13","1","4","27","23","10","0","49","1","2","0","4","0","1",".330","4.4 %","21.5 %","0.20",".360",".456",".815",".126",".409","34","5.1",".346","2.7","116","-0.6","-0.3","0.0","82","50","156","86","38.1 %","48.2 %","13.7 %","26.8 %","45.2 %","28.0 %","8.2 %","8623"
"2016","Asdrubal Cabrera","Mets","141","521","568","146","92","30","1","23","65","62","38","3","103","7","2","0","14","5","1",".280","6.7 %","18.1 %","0.37",".336",".474",".810",".194",".310","80","12.8",".345","3.4","120","0.3","-2.7","-1.4","116","77","108","84","36.7 %","48.8 %","14.5 %","21.7 %","27.1 %","51.2 %","14.0 %","4962"
"2014","Jhonny Peralta","Cardinals","157","560","628","147","88","38","0","21","61","75","58","2","112","6","4","0","19","3","2",".263","9.2 %","17.8 %","0.52",".336",".443",".779",".180",".292","84","16.1",".343","1.9","120","-0.7","-0.8","-2.1","110","118","110","88","33.9 %","48.9 %","17.3 %","23.7 %","28.1 %","48.2 %","12.4 %","1738"
"2017","Eric Sogard","Brewers","94","249","299","68","49","15","1","3","37","18","45","2","37","4","0","1","7","3","3",".273","15.1 %","12.4 %","1.22",".393",".378",".770",".104",".311","42","5.7",".343","3.3","109","-0.9","-0.8","-0.7","92","167","139","88","26.3 %","56.8 %","16.9 %","30.5 %","31.5 %","38.0 %","4.5 %","7927"
"2014","Starlin Castro","Cubs","134","528","569","154","106","33","1","14","58","65","35","4","100","4","2","0","18","4","4",".292","6.2 %","17.6 %","0.35",".339",".438",".777",".146",".337","75","13.5",".341","2.6","117","-1.2","-2.1","-1.4","95","79","106","101","29.1 %","54.9 %","16.1 %","21.6 %","38.1 %","40.2 %","10.1 %","4579"
"2019","Corey Seager","Dodgers","134","489","541","133","69","44","1","19","82","87","44","3","98","4","4","0","8","1","0",".272","8.1 %","18.1 %","0.45",".335",".483",".817",".211",".303","78","9.6",".340","3.2","113","0.0","2.4","1.0","111","92","100","91","42.3 %","43.0 %","14.7 %","28.1 %","34.7 %","37.2 %","12.3 %","13624"
"2019","Kevin Newman","Pirates","130","493","531","152","114","20","6","12","61","64","28","2","62","7","1","2","5","16","8",".308","5.3 %","11.7 %","0.45",".353",".446",".800",".138",".333","76","9.0",".339","5.5","110","-0.6","-0.4","0.8","80","60","102","115","26.7 %","53.0 %","20.3 %","28.6 %","34.1 %","37.3 %","9.8 %","17696"
"2017","Pat Valaika","Rockies","110","182","195","47","23","11","0","13","28","40","7","0","53","0","1","5","1","0","0",".258","3.6 %","27.2 %","0.13",".284",".533",".817",".275",".291","27","2.9",".338","1.8","92","-0.1","1.1","1.3","143","40","81","75","34.1 %","44.4 %","21.5 %","27.4 %","35.6 %","37.0 %","20.3 %","14885"
"2016","Greg Garcia","Cardinals","99","214","257","59","45","11","0","3","33","17","38","4","50","4","1","0","3","1","1",".276","14.8 %","19.5 %","0.76",".393",".369",".762",".093",".346","35","4.3",".338","2.2","111","-0.4","1.9","0.2","71","171","120","113","23.6 %","58.8 %","17.6 %","30.9 %","35.8 %","33.3 %","7.7 %","10951"
"2017","Asdrubal Cabrera","Mets","135","479","540","134","88","32","0","14","66","59","50","1","83","5","5","1","19","3","2",".280","9.3 %","15.4 %","0.60",".351",".434",".785",".154",".310","74","7.8",".338","2.5","112","-0.6","-6.2","-2.1","103","103","99","98","36.8 %","46.0 %","17.2 %","19.4 %","34.3 %","46.3 %","9.7 %","4962"
"2017","Trea Turner","Nationals","98","412","447","117","76","24","6","11","75","45","30","0","80","4","1","0","4","46","8",".284","6.7 %","17.9 %","0.38",".338",".451",".789",".167",".329","61","6.4",".338","8.9","104","5.5","1.5","0.8","95","75","72","117","26.7 %","55.3 %","18.0 %","22.8 %","37.8 %","39.3 %","9.9 %","16252"
"2018","Chris Taylor","Dodgers","155","536","604","136","76","35","8","17","85","63","55","0","178","9","4","0","5","9","6",".254","9.1 %","29.5 %","0.31",".331",".444",".775",".190",".345","80","9.8",".335","6.3","113","-1.0","4.0","1.4","111","101","126","78","38.4 %","48.3 %","13.3 %","27.9 %","34.3 %","37.9 %","12.1 %","13757"
"2016","Dansby Swanson","Braves","38","129","145","39","28","7","1","3","20","17","13","5","34","0","2","1","2","3","0",".302","9.0 %","23.4 %","0.38",".361",".442",".803",".140",".383","19","1.9",".334","6.0","107","0.5","0.3","0.3","91","104","107","104","34.7 %","46.9 %","18.4 %","32.7 %","37.8 %","29.6 %","10.0 %","18314"
"2019","Seth Mejias-Brean","Padres","14","30","33","7","3","2","0","2","3","5","3","0","9","0","0","0","1","0","0",".233","9.1 %","27.3 %","0.33",".303",".500",".803",".267",".263","5","0.4",".333","0.3","107","0.0","-0.1","-0.1","94","103","66","122","33.3 %","42.9 %","23.8 %","23.8 %","42.9 %","33.3 %","28.6 %","13905"
"2016","Daniel Descalso","Rockies","99","250","289","66","44","12","2","8","38","38","34","3","56","1","4","0","2","3","0",".264","11.8 %","19.4 %","0.61",".349",".424",".773",".160",".305","37","3.3",".332","5.1","90","0.4","0.9","0.5","94","136","113","98","29.3 %","51.5 %","19.2 %","24.8 %","35.9 %","39.4 %","12.7 %","8392"
